$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
   15 126    49    49  11.6 -15.0 14.21  4.21  0.39  2.12  59.7  0.58 0.055  0.64  1060    21   162   877   158   719     0  0.00     0     0   641     0 6.745 1.185  73.0     0     0   375   368  0.51  0.78  89.4  95.0  4.81  0.00  0.00  0.00  0.04  0.04  0.04   2.0  0.00  0.00  0.00  0.16
   15 127    50    50  13.0 -15.0 14.32  4.32  0.40  2.14  79.0  0.60 0.057  0.66  1130    21   172   937   163   773     0  0.00     0     0   691     0 9.027 1.290  73.8     0     0   375   367  0.53  0.78  76.8  59.2  3.66  0.00  0.00  0.00  0.03  0.03  0.03   2.0  0.00  0.00  0.00  0.15
   15 128    51    51  15.5 -15.0 14.45  4.45  0.41  2.16  94.9  0.62 0.059  0.68  1214    21   184  1008   170   838     0  0.00     0     0   753     0 11.75 1.423  74.7     0     0   375   366  0.54  0.78  71.1  43.5  3.10  0.00  0.00  0.00  0.02  0.02  0.02   2.0  0.00  0.00  0.00  0.15
   15 129    52    52  14.2 -15.0 14.57  4.57  0.42  2.18  70.1  0.64 0.061  0.70  1275    21   193  1060   175   885     0  0.00     0     0   796     0 14.26 1.554  75.0     0     0   375   364  0.56  0.78  74.7  65.6  4.76  0.00  0.00  0.00  0.01  0.01  0.01   2.0  0.00  0.00  0.00  0.15
   15 130    53    53  13.2 -15.0 14.68  4.68  0.43  2.20  94.9  0.66 0.064  0.72  1359    21   205  1133   181   951     0  0.00     0     0   859     0 16.59 1.682  75.8     0     0   396   363  0.57  0.79  72.6  47.8  3.74  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.14
   15 131    54    54  13.7 -15.0 14.79  4.79  0.44  2.21 115.8  0.68 0.066  0.74  1463    21   220  1221   187  1034     0  0.00     0     0   937     0 19.01 1.823  76.8     0     0   417   362  0.59  0.79  70.6  37.6  3.22  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.14
   15 132    55    55  18.0 -15.0 14.94  4.94  0.45  2.21 129.1  0.71 0.070  0.78  1579    21   236  1321   198  1123     0  0.00     0     0  1021     0 21.00 2.020  77.3     0     0   445   360  0.61  0.79  69.8  30.4  2.82  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.13
   15 133    56    56  17.8 -15.0 15.09  5.09  0.48  2.21  90.7  0.77 0.077  0.85  1662    21   247  1393   216  1177     0  0.00     0     0  1064     0 21.00 2.230  76.3     0     0   473   358  0.62  0.79  75.8  48.4  4.43  0.00  0.00  0.00  0.00  0.00  0.00   1.5  0.00  0.00  0.00  0.13
   15 134    57    57  15.0 -15.0 15.22  5.22  0.50  2.21  88.4  0.82 0.082  0.90  1739    21   258  1460   231  1229     0  0.00     0     0  1107     0 24.35 2.415  75.8     0     0   496   356  0.64  0.79  75.7  52.3  5.03  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.13
   15 135    58    58  11.4 -15.0 15.31  5.31  0.52  2.21  94.4  0.86 0.087  0.95  1823    21   270  1532   243  1289     0  0.00     0     0  1160     0 26.91 2.563  75.7     0     0   514   354  0.65  0.79  75.0  52.8  5.34  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.12
   15 136    59    59  12.8 -15.0 15.42  5.42  0.54  2.21 134.0  0.90 0.092  1.00  1943    21   286  1636   256  1379     0  0.00     0     0  1241     0 29.78 2.735  75.9     0     0   534   353  0.66  0.80  73.4  34.8  3.76  0.00  0.00  0.00  0.00  0.00  0.00   1.8  0.00  0.00  0.00  0.12
   15 137    60    60  14.1 -15.0 15.54  5.54  0.56  2.21 100.1  0.96 0.098  1.05  2032    21   298  1712   272  1440     0  0.00     0     0  1292     0 32.97 2.937  75.4     0     0   556   351  0.67  0.80  73.7  46.2  5.27  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.00  0.00  0.12
   15 138    61    61  15.4 -15.0 15.66  5.66  0.58  2.21 155.3  1.01 0.105  1.12  2171    21   317  1833   290  1543     0  0.00     0     0  1383     0 36.44 3.167  75.4     0     0   580   349  0.69  0.80  72.1  27.8  3.38  0.00  0.00  0.00  0.00  0.00  0.00   1.1  0.00  0.00  0.00  0.11
   15 139    62    62  13.9 -15.0 15.78  5.78  0.60  2.21 114.1  1.07 0.112  1.18  2272    21   330  1921   307  1614     0  0.00     0     0  1442     0 39.61 3.388  75.1     0     0   602   348  0.70  0.80  87.3  48.3  3.94  0.00  0.00  0.00  0.00  0.00  0.00   1.2  0.00  0.00  0.00  0.11
   15 140    63    63   8.4 -15.0 15.85  5.85  0.61  2.21  75.8  1.10 0.116  1.22  2342    21   339  1981   318  1663     0  0.00     0     0  1486     0 40.20 3.526  75.0     0     0   602   347  0.71  0.80 105.6  99.9  9.25  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.16  0.00  0.00
   15 141    64    64   9.8 -15.0 15.93  5.93  0.62  2.21 100.1  1.15 0.121  1.27  2433    21   351  2061   332  1729     0  0.00     0     0  1542     0 40.90 3.691  74.8     0     0   602   346  0.72  0.80 105.1  72.7  6.89  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.02  0.00  0.00
   15 142    65    65   9.9 -15.0 16.01  6.01  0.64  2.21 146.0  1.20 0.127  1.33  2567    21   367  2178   349  1829     0  0.00     0     0  1631     0 41.61 3.863  74.9     0     0   602   345  0.73  0.81  96.6  45.2  4.82  0.00  0.00  0.00  0.00  0.00  0.00   1.7  0.00  0.01  0.00  0.00
   15 143    66    66  11.7 -15.0 16.11  6.11  0.67  2.21 141.3  1.29 0.139  1.43  2696    21   384  2291   377  1914     0  0.00     0     0  1697     0 42.45 4.078  74.1     0     0   602   343  0.74  0.81  97.8  45.5  5.02  0.00  0.00  0.00  0.00  0.00  0.00   1.1  0.00  0.00  0.00  0.00
   15 144    67    67  12.1 -15.0 16.21  6.21  0.69  2.21 125.9  1.39 0.150  1.54  2811    21   398  2392   407  1985     0  0.00     0     0  1749     0 43.32 4.311  73.1     0     0   602   341  0.75  0.81  97.4  50.6  5.85  0.00  0.00  0.00  0.00  0.00  0.00   1.0  0.00  0.00  0.00  0.00
   15 145    68    68  14.6 -15.0 30.15  6.33  0.72  2.21 149.9  1.50 0.164  1.67  2948    21   415  2512   443  2070     0  0.00     0     0  1810     0 44.37 4.601  72.0     0     0   602   339  0.76  0.81  96.6  39.6  4.80  0.00  0.00  0.00  0.00  0.00  0.00   0.7  0.00  0.00  0.00  0.00
   15 146    69    69  11.6 -15.0 30.67  6.43  0.74  2.18 134.4  1.59 0.175  1.77  3071    21   430  2621   471  2150     0  0.00     0     0  1870     0 45.21 4.841  71.3     0     0   602   338  0.77  0.81  95.2  46.3  5.93  0.00  0.00  0.00  0.01  0.01  0.01   0.6  0.00  0.00  0.00  0.00
   15 147    70    70   9.2 -15.0 31.08  6.51  0.76  2.15 158.7  1.66 0.184  1.84  3217    21   447  2749   492  2257     0  0.00     0     0  1960     0 45.89 5.040  71.3     0     0   602   336  0.78  0.81  92.9  39.8  5.41  0.00  0.00  0.00  0.03  0.03  0.03   0.7  0.00  0.07  0.00  0.00
   15 148    71    71  11.9 -14.4 31.61  6.61  0.77  2.15 215.5  1.75 0.197  1.94  3416    21   471  2923   520  2403     0  0.00     0     0  2082     0 46.75 5.306  71.2     0     0   602   335  0.79  0.81  90.0  26.1  3.81  0.00  0.00  0.00  0.03  0.03  0.03   0.5  0.00  0.00  0.00  0.00
   15 149    72    72  15.6 -13.2 32.30  6.74  0.79  2.11 209.2  1.86 0.213  2.07  3608    21   494  3093   557  2535     0  0.00     0     0  2182     0 47.89 5.673  70.6     0     0   602   334  0.81  0.81  87.4  23.7  3.43  0.00  0.00  0.00  0.05  0.05  0.05   0.4  0.00  0.00  0.00  0.00
   15 150    73    73  14.9 -12.4 32.97  6.86  0.81  2.03 137.8  1.97 0.227  2.19  3734    21   509  3204   592  2612     0  0.00     0     0  2235     0 48.99 6.043  69.8     0     0   602   333  0.82  0.81  86.2  35.3  4.62  0.00  0.00  0.00  0.08  0.08  0.08   0.4  0.00  0.00  0.00  0.00
