$PLANT NITROGEN ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  NUAC  TNAD SDNAD  RNAD  CNAD  LNAD  SNAD  HNAD   HIND  RSNAD  SNNPD SNN0D SNN1D  RN%D  LN%D  SN%D   HN%D  SDN%D   VN%D LN%RD SN%RD RN%RD  VCN%  VMN% NUPRD NDEMD
   15 154    77    77  20.5 36.28  46.2  47.4  0.00 10.14  37.3  24.1   1.3   0.0   0.00   0.09   0.00 0.767 0.113 1.716 3.265 0.519   0.00   0.00   0.98  0.75  0.61  0.93   3.7  0.64  0.13  4.69
   15 155    78    78  19.7 37.16  46.9  48.0  0.00 10.40  37.6  24.3   1.3   0.0   0.00   0.08   0.00 0.787 0.121 1.706 3.089 0.484   0.00   0.00   0.96  0.72  0.57  0.93   3.6  0.63  0.14  4.46
   15 156    79    79  21.8 38.12  47.4  48.5  0.00 10.65  37.9  24.4   1.3   0.0   0.00   0.08   0.00 0.808 0.130 1.696 2.941 0.454   0.00   0.00   0.93  0.70  0.55  0.93   3.6  0.63  0.13  4.26
   15 157    80    80  21.8 39.09  47.8  48.9  0.00 10.92  38.0  24.5   1.3   0.0   0.00   0.07   0.00 0.829 0.140 1.686 2.799 0.421   0.00   0.00   0.90  0.68  0.52  0.92   3.5  0.62  0.10  4.32
   15 158    81    81  21.5 40.04  50.3  51.3  0.00 11.13  40.2  25.9   1.4   0.0   0.00   0.07   0.00 0.850 0.149 1.678 2.747 0.424   0.00   0.00   0.93  0.69  0.53  0.92   3.4  0.62  0.44  5.65
   15 159    82    82  16.1 40.71  51.0  52.0  0.00 11.31  40.7  26.0   1.6   0.0   0.00   0.20   0.06 0.850 0.157 1.672 2.775 0.425   0.00   0.00   0.92  0.71  0.54  0.92   3.3  0.61  0.46  1.48
   15 160    83    83  12.3 41.23  52.0  53.0  0.00 11.48  41.5  26.4   1.8   0.0   0.00   0.15   0.11 0.850 0.162 1.681 2.833 0.462   0.00   0.00   0.93  0.73  0.60  0.93   3.2  0.61  2.00  1.03
   15 161    84    84  14.7 41.84  53.3  54.3  0.00 11.76  42.5  26.8   2.2   0.0   0.00   0.19   0.16 0.850 0.169 1.690 2.886 0.505   0.00   0.00   0.93  0.75  0.66  0.93   3.1  0.60  2.00  1.24
   15 162    85    85  18.3 42.60  54.4  55.4  0.00 12.05  43.4  27.0   2.6   0.0   0.00   0.24   0.23 0.850 0.178 1.699 2.933 0.541   0.00   0.00   0.93  0.78  0.72  0.94   3.0  0.60  2.00  1.17
   15 163    86    86  20.9 43.47  55.7  56.7  0.00 12.44  44.3  27.1   3.2   0.0   0.00   0.28   0.31 0.850 0.188 1.707 2.975 0.576   0.00   0.00   0.91  0.81  0.79  0.95   2.8  0.59  2.00  1.28
   15 164    87    87  20.1 44.31  56.7  57.7  0.00 12.76  44.9  27.2   3.7   0.0   0.00   0.28   0.39 0.850 0.198 1.715 3.011 0.597   0.00   0.00   0.90  0.83  0.84  0.95   2.7  0.58  2.00  1.00
   15 165    88    88  20.1 45.15  57.6  58.6  0.00 13.05  45.5  27.2   4.1   0.0   0.00   0.28   0.46 0.850 0.208 1.721 3.041 0.613   0.00   0.00   0.88  0.86  0.88  0.96   2.6  0.57  2.00  0.88
   15 166    89    89  15.1 45.78  58.1  59.0  0.00 13.22  45.8  27.3   4.4   0.0   0.00   0.21   0.52 0.850 0.215 1.725 3.065 0.621   0.00   0.00   0.88  0.88  0.91  0.96   2.5  0.57  2.00  0.49
   15 167    90    90  15.2 46.41  58.8  59.8  0.00 13.48  46.3  27.3   4.8   0.0   0.00   0.22   0.57 0.850 0.223 1.730 3.086 0.629   0.00   0.00   0.86  0.90  0.94  0.97   2.4  0.56  2.00  0.73
   15 168    91    91  14.8 47.03  59.5  60.5  0.00 13.75  46.7  27.2   5.2   0.0   0.00   0.21   0.62 0.850 0.231 1.734 3.103 0.634   0.00   0.00   0.85  0.92  0.96  0.97   2.3  0.56  2.00  0.73
   15 169    92    92  13.2 47.58  60.2  61.1  0.00 13.99  47.1  27.2   5.6   0.0   0.00   0.19   0.67 0.850 0.238 1.738 3.116 0.637   0.00   0.00   0.83  0.94  0.98  0.98   2.2  0.55  2.00  0.62
   15 170    93    93  13.2 48.13  60.6  61.5  0.00 14.18  47.4  27.1   6.0   0.0   0.00   0.19   0.72 0.850 0.245 1.741 3.126 0.637   0.00   0.00   0.82  0.96  1.00  0.98   2.2  0.55  2.00  0.45
   15 171    94    94  12.2 48.64  61.1  62.0  0.00 14.38  47.6  27.0   6.3   0.0   0.00   0.18   0.76 0.850 0.252 1.743 3.133 0.627   0.00   0.00   0.80  0.97  1.00  0.98   2.1  0.54  2.00  0.45
   15 172    95    95  13.6 49.20  61.5  62.4  0.00 14.61  47.8  26.9   6.6   0.0   0.00   0.20   0.81 0.850 0.259 1.746 3.138 0.616   0.00   0.00   0.78  0.99  1.00  0.98   2.0  0.54  2.00  0.43
   15 173    96    96  16.2 49.88  61.9  62.8  0.00 14.83  47.9  26.7   6.9   0.0   0.00   0.24   0.87 0.850 0.268 1.748 3.111 0.602   0.00   0.00   0.76  1.00  1.00  0.99   1.9  0.53  2.00  0.37
