$GROWTH ASPECTS SECONDARY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  RSTD LAIPD LAISD  LAID  CHTD SDWAD SNWLD SNWSD  H#AD  HWUD SHRTD  PTFD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D RL10D
   15 147    70    70   9.2 31.08  2.33 1.888  0.23 1.655 32.51  21.3 45.89 5.040     0     0  6.15  0.81 0.780  2.23  1.00  0.69  0.40  0.29  0.10  0.00  0.00  0.00  0.00
   15 148    71    71  11.9 31.61  2.37 1.983  0.24 1.745 33.28  21.3 46.75 5.306     0     0  6.21  0.81 0.791  2.28  1.04  0.72  0.43  0.32  0.12  0.00  0.00  0.00  0.00
   15 149    72    72  15.6 32.30  2.42 2.104  0.24 1.861 34.27  21.3 47.89 5.673     0     0  6.26  0.81 0.806  2.33  1.08  0.76  0.45  0.34  0.13  0.00  0.00  0.00  0.00
   15 150    73    73  14.9 32.97  2.47 2.216  0.25 1.968 35.57  21.3 48.99 6.043     0     0  6.29  0.81 0.820  2.36  1.11  0.78  0.47  0.36  0.15  0.00  0.00  0.00  0.00
   15 151    74    74  15.4 33.65  2.52 2.328  0.25 2.074 36.81  21.3 50.11 6.435     0     0  6.33  0.81 0.834  2.39  1.14  0.81  0.49  0.38  0.16  0.00  0.00  0.00  0.00
   15 152    75    75  19.0 34.50  2.59 2.531  0.26 2.270 38.10  21.3 51.51 6.937     0     0  6.37  0.81 0.851  2.62  1.16  0.82  0.50  0.39  0.17  0.01  0.00  0.00  0.00
   15 153    76    76  19.8 35.37  2.65 2.730  0.27 2.463 39.68  21.3 52.96 7.480     0     0  6.40  0.81 0.870  2.82  1.17  0.84  0.51  0.40  0.18  0.01  0.00  0.00  0.00
   15 154    77    77  20.5 36.28  2.72 2.917  0.27 2.642 41.33  21.3 54.47 8.062     0     0  6.42  0.81 0.889  3.05  1.19  0.85  0.52  0.41  0.19  0.01  0.00  0.00  0.00
   15 155    78    78  19.7 37.16  2.79 3.092  0.28 2.810 43.03  21.3 55.93 8.642     0     0  6.44  0.81 0.907  3.25  1.21  0.86  0.53  0.42  0.19  0.02  0.00  0.00  0.00
   15 156    79    79  21.8 38.12  2.86 3.255  0.29 2.966 44.67  21.3 57.55 9.306     0     0  6.46  0.81 0.927  3.43  1.22  0.88  0.54  0.43  0.20  0.02  0.00  0.00  0.00
